file, time_ms
py-sudokus/Size/2x3/Sudoku15_2x3,0.073743
py-sudokus/Size/2x3/Sudoku16_2x3,0.067393
py-sudokus/Size/2x3/Sudoku17_2x3,0.051452
py-sudokus/Size/2x3/Sudoku18_2x3,0.141037
py-sudokus/Size/2x3/Sudoku19_2x3,0.106234
py-sudokus/Size/2x3/Sudoku1_2x3,0.093781
py-sudokus/Size/2x3/Sudoku20_2x3,0.061385
py-sudokus/Size/2x3/Sudoku21_2x3,0.131323
py-sudokus/Size/2x3/Sudoku22_2x3,0.054187
py-sudokus/Size/2x3/Sudoku23_2x3,0.420375
py-sudokus/Size/2x3/Sudoku24_2x3,0.06886
py-sudokus/Size/2x3/Sudoku25_2x3,0.064345
py-sudokus/Size/2x3/Sudoku26_2x3,0.038732
py-sudokus/Size/2x3/Sudoku27_2x3,0.10135
py-sudokus/Size/2x3/Sudoku28_2x3,0.096837
py-sudokus/Size/2x3/Sudoku29_2x3,0.114256
py-sudokus/Size/2x3/Sudoku2_2x3,0.095435
py-sudokus/Size/2x3/Sudoku30_2x3,0.040301
py-sudokus/Size/2x3/Sudoku31_2x3,0.188423
py-sudokus/Size/2x3/Sudoku32_2x3,0.198098
py-sudokus/Size/2x3/Sudoku33_2x3,0.065515
py-sudokus/Size/2x3/Sudoku34_2x3,0.06019
py-sudokus/Size/2x3/Sudoku35_2x3,0.111504
py-sudokus/Size/2x3/Sudoku36_2x3,0.041145
py-sudokus/Size/2x3/Sudoku37_2x3,0.076386
py-sudokus/Size/2x3/Sudoku38_2x3,0.282237
py-sudokus/Size/2x3/Sudoku39_2x3,0.078357
py-sudokus/Size/2x3/Sudoku3_2x3,0.074217
py-sudokus/Size/2x3/Sudoku40_2x3,0.07286
py-sudokus/Size/2x3/Sudoku41_2x3,0.08515
py-sudokus/Size/2x3/Sudoku42_2x3,0.060913
py-sudokus/Size/2x3/Sudoku43_2x3,0.259996
py-sudokus/Size/2x3/Sudoku44_2x3,0.041577
py-sudokus/Size/2x3/Sudoku45_2x3,0.05455
py-sudokus/Size/2x3/Sudoku46_2x3,0.066602
py-sudokus/Size/2x3/Sudoku47_2x3,0.059374
py-sudokus/Size/2x3/Sudoku48_2x3,0.124674
py-sudokus/Size/2x3/Sudoku49_2x3,0.053444
py-sudokus/Size/2x3/Sudoku4_2x3,0.04516
py-sudokus/Size/2x3/Sudoku50_2x3,0.05803
py-sudokus/Size/2x3/Sudoku51_2x3,0.109968
py-sudokus/Size/2x3/Sudoku52_2x3,0.08921
py-sudokus/Size/2x3/Sudoku53_2x3,0.062208
py-sudokus/Size/2x3/Sudoku54_2x3,0.107754
py-sudokus/Size/2x3/Sudoku55_2x3,0.223064
py-sudokus/Size/2x3/Sudoku56_2x3,0.053223
py-sudokus/Size/2x3/Sudoku57_2x3,0.112998
py-sudokus/Size/2x3/Sudoku58_2x3,0.044743
py-sudokus/Size/2x3/Sudoku59_2x3,0.117674
py-sudokus/Size/2x3/Sudoku5_2x3,0.096263
py-sudokus/Size/2x3/Sudoku60_2x3,0.05994
py-sudokus/Size/2x3/Sudoku61_2x3,0.120186
py-sudokus/Size/2x3/Sudoku62_2x3,0.077086
py-sudokus/Size/2x3/Sudoku63_2x3,0.069236
py-sudokus/Size/2x3/Sudoku64_2x3,0.095258
py-sudokus/Size/2x3/Sudoku65_2x3,0.108633
py-sudokus/Size/2x3/Sudoku66_2x3,0.257475
py-sudokus/Size/2x3/Sudoku67_2x3,0.150544
py-sudokus/Size/2x3/Sudoku68_2x3,0.107223
py-sudokus/Size/2x3/Sudoku69_2x3,0.119887
py-sudokus/Size/2x3/Sudoku6_2x3,0.143031
py-sudokus/Size/2x3/Sudoku70_2x3,0.07234
py-sudokus/Size/2x3/Sudoku71_2x3,0.097484
py-sudokus/Size/2x3/Sudoku72_2x3,0.101084
py-sudokus/Size/2x3/Sudoku73_2x3,0.07438
py-sudokus/Size/2x3/Sudoku74_2x3,0.053502
py-sudokus/Size/2x3/Sudoku75_2x3,0.090601
py-sudokus/Size/2x3/Sudoku76_2x3,0.041164
py-sudokus/Size/2x3/Sudoku77_2x3,0.138375
py-sudokus/Size/2x3/Sudoku78_2x3,0.040881
py-sudokus/Size/2x3/Sudoku79_2x3,0.126834
py-sudokus/Size/2x3/Sudoku7_2x3,0.043313
py-sudokus/Size/2x3/Sudoku80_2x3,0.149731
py-sudokus/Size/2x3/Sudoku81_2x3,0.094346
py-sudokus/Size/2x3/Sudoku82_2x3,0.071154
py-sudokus/Size/2x3/Sudoku83_2x3,0.264649
py-sudokus/Size/2x3/Sudoku84_2x3,0.357216
py-sudokus/Size/2x3/Sudoku85_2x3,0.752402
py-sudokus/Size/2x3/Sudoku86_2x3,0.060996
py-sudokus/Size/2x3/Sudoku87_2x3,0.183334
py-sudokus/Size/2x3/Sudoku88_2x3,0.04023
py-sudokus/Size/2x3/Sudoku89_2x3,0.057338
py-sudokus/Size/2x3/Sudoku8_2x3,0.06774
py-sudokus/Size/2x3/Sudoku90_2x3,0.039253
py-sudokus/Size/2x3/Sudoku91_2x3,0.104953
py-sudokus/Size/2x3/Sudoku92_2x3,0.049126
py-sudokus/Size/2x3/Sudoku93_2x3,0.08861
py-sudokus/Size/2x3/Sudoku94_2x3,0.317877
py-sudokus/Size/2x3/Sudoku95_2x3,0.066756
py-sudokus/Size/2x3/Sudoku96_2x3,0.197861
py-sudokus/Size/2x3/Sudoku97_2x3,0.080396
py-sudokus/Size/2x3/Sudoku98_2x3,0.087023
py-sudokus/Size/2x3/Sudoku99_2x3,0.043003
py-sudokus/Size/2x3/Sudoku9_2x3,0.049005
py-sudokus/Size/2x4/Sudoku100_2x4,0.526957
py-sudokus/Size/2x4/Sudoku10_2x4,0.682601
py-sudokus/Size/2x4/Sudoku11_2x4,3.440479
py-sudokus/Size/2x4/Sudoku12_2x4,0.433334
py-sudokus/Size/2x4/Sudoku13_2x4,0.145229
py-sudokus/Size/2x4/Sudoku14_2x4,0.631991
py-sudokus/Size/2x4/Sudoku15_2x4,8.607398
py-sudokus/Size/2x4/Sudoku16_2x4,5.248981
py-sudokus/Size/2x4/Sudoku17_2x4,1.192617
py-sudokus/Size/2x4/Sudoku18_2x4,1.042336
py-sudokus/Size/2x4/Sudoku19_2x4,2.226142
py-sudokus/Size/2x4/Sudoku1_2x4,0.904496
py-sudokus/Size/2x4/Sudoku20_2x4,0.348802
py-sudokus/Size/2x4/Sudoku21_2x4,0.276126
py-sudokus/Size/2x4/Sudoku22_2x4,5.268705
py-sudokus/Size/2x4/Sudoku23_2x4,0.39201
py-sudokus/Size/2x4/Sudoku24_2x4,0.628089
py-sudokus/Size/2x4/Sudoku25_2x4,6.296763
py-sudokus/Size/2x4/Sudoku26_2x4,1.693892
py-sudokus/Size/2x4/Sudoku27_2x4,8.026902
py-sudokus/Size/2x4/Sudoku28_2x4,0.537124
py-sudokus/Size/2x4/Sudoku29_2x4,0.184821
py-sudokus/Size/2x4/Sudoku2_2x4,5.743544
py-sudokus/Size/2x4/Sudoku30_2x4,1.74391
py-sudokus/Size/2x4/Sudoku31_2x4,2.555625
py-sudokus/Size/2x4/Sudoku32_2x4,0.649302
py-sudokus/Size/2x4/Sudoku33_2x4,12.785678
py-sudokus/Size/2x4/Sudoku34_2x4,0.609958
py-sudokus/Size/2x4/Sudoku35_2x4,9.414469
py-sudokus/Size/2x4/Sudoku36_2x4,2.948894
py-sudokus/Size/2x4/Sudoku37_2x4,1.437875
py-sudokus/Size/2x4/Sudoku38_2x4,0.164463
py-sudokus/Size/2x4/Sudoku39_2x4,1.024623
py-sudokus/Size/2x4/Sudoku3_2x4,0.932075
py-sudokus/Size/2x4/Sudoku40_2x4,0.197225
py-sudokus/Size/2x4/Sudoku41_2x4,6.187832
py-sudokus/Size/2x4/Sudoku42_2x4,8.038072
py-sudokus/Size/2x4/Sudoku43_2x4,0.503128
py-sudokus/Size/2x4/Sudoku44_2x4,6.072683
py-sudokus/Size/2x4/Sudoku45_2x4,6.245422
py-sudokus/Size/2x4/Sudoku46_2x4,1.206287
py-sudokus/Size/2x4/Sudoku47_2x4,1.430672
py-sudokus/Size/2x4/Sudoku48_2x4,4.737468
py-sudokus/Size/2x4/Sudoku49_2x4,0.188605
py-sudokus/Size/2x4/Sudoku4_2x4,0.944068
py-sudokus/Size/2x4/Sudoku50_2x4,1.521995
py-sudokus/Size/2x4/Sudoku51_2x4,1.512717
py-sudokus/Size/2x4/Sudoku52_2x4,0.69839
py-sudokus/Size/2x4/Sudoku53_2x4,4.310115
py-sudokus/Size/2x4/Sudoku54_2x4,0.306535
py-sudokus/Size/2x4/Sudoku55_2x4,0.71823
py-sudokus/Size/2x4/Sudoku56_2x4,0.158331
py-sudokus/Size/2x4/Sudoku57_2x4,3.858224
py-sudokus/Size/2x4/Sudoku58_2x4,0.114203
py-sudokus/Size/2x4/Sudoku59_2x4,6.42417
py-sudokus/Size/2x4/Sudoku5_2x4,1.734784
py-sudokus/Size/2x4/Sudoku60_2x4,0.354276
py-sudokus/Size/2x4/Sudoku61_2x4,0.505699
py-sudokus/Size/2x4/Sudoku62_2x4,0.210176
py-sudokus/Size/2x4/Sudoku63_2x4,3.797986
py-sudokus/Size/2x4/Sudoku64_2x4,0.186154
py-sudokus/Size/2x4/Sudoku65_2x4,0.868616
py-sudokus/Size/2x4/Sudoku66_2x4,0.130225
py-sudokus/Size/2x4/Sudoku67_2x4,0.573197
py-sudokus/Size/2x4/Sudoku68_2x4,1.525755
py-sudokus/Size/2x4/Sudoku69_2x4,5.959769
py-sudokus/Size/2x4/Sudoku6_2x4,4.727558
py-sudokus/Size/2x4/Sudoku70_2x4,3.749836
py-sudokus/Size/2x4/Sudoku71_2x4,1.864212
py-sudokus/Size/2x4/Sudoku72_2x4,1.88557
py-sudokus/Size/2x4/Sudoku73_2x4,0.340775
py-sudokus/Size/2x4/Sudoku74_2x4,0.12437
py-sudokus/Size/2x4/Sudoku75_2x4,0.451225
py-sudokus/Size/2x4/Sudoku76_2x4,0.734435
py-sudokus/Size/2x4/Sudoku77_2x4,1.398918
py-sudokus/Size/2x4/Sudoku78_2x4,0.443224
py-sudokus/Size/2x4/Sudoku79_2x4,2.01082
py-sudokus/Size/2x4/Sudoku7_2x4,0.516048
py-sudokus/Size/2x4/Sudoku80_2x4,0.267512
py-sudokus/Size/2x4/Sudoku81_2x4,1.331824
py-sudokus/Size/2x4/Sudoku82_2x4,3.312764
py-sudokus/Size/2x4/Sudoku83_2x4,0.938913
py-sudokus/Size/2x4/Sudoku84_2x4,5.760717
py-sudokus/Size/2x4/Sudoku85_2x4,4.917499
py-sudokus/Size/2x4/Sudoku86_2x4,0.109595
py-sudokus/Size/2x4/Sudoku87_2x4,0.648947
py-sudokus/Size/2x4/Sudoku88_2x4,0.854024
py-sudokus/Size/2x4/Sudoku89_2x4,0.213796
py-sudokus/Size/2x4/Sudoku8_2x4,0.396209
py-sudokus/Size/2x4/Sudoku90_2x4,2.073414
py-sudokus/Size/2x4/Sudoku91_2x4,1.192308
py-sudokus/Size/2x4/Sudoku92_2x4,0.282915
py-sudokus/Size/2x4/Sudoku93_2x4,0.542493
py-sudokus/Size/2x4/Sudoku94_2x4,0.203887
py-sudokus/Size/2x4/Sudoku95_2x4,1.078073
py-sudokus/Size/2x4/Sudoku96_2x4,0.216399
py-sudokus/Size/2x4/Sudoku97_2x4,0.330039
py-sudokus/Size/2x4/Sudoku98_2x4,0.989936
py-sudokus/Size/2x4/Sudoku99_2x4,1.68964
py-sudokus/Size/2x4/Sudoku9_2x4,9.30124
py-sudokus/Size/3x3/Sudoku100_3x3,4.386416
